,DateTime,Open,High,Low,Close
149,2019-01-22,264.82,265.06,261.06,262.86
150,2019-01-23,264.01,264.79,260.66,263.41
151,2019-01-24,263.21,264.2,262.08,263.55
152,2019-01-25,265.61,266.7,265.11,265.78
153,2019-01-28,263.39,263.83,261.79,263.76
154,2019-01-29,263.9,264.55,262.48,263.41
155,2019-01-30,265.1,268.52,264.25,267.58
156,2019-01-31,267.51,270.47,267.27,269.93
157,2019-02-01,270.15,271.2,269.18,270.06
158,2019-02-04,270.11,272.02,269.36,271.96
159,2019-02-05,272.47,273.44,271.88,273.1
160,2019-02-06,272.79,273.34,271.92,272.74
161,2019-02-07,270.94,271.55,268.29,270.14
162,2019-02-08,268.75,270.51,267.83,270.47
163,2019-02-11,271.2,271.49,270.03,270.62
164,2019-02-12,272.42,274.52,272.34,274.1
165,2019-02-13,275.03,275.93,274.56,274.99
166,2019-02-14,273.78,275.64,272.87,274.38
167,2019-02-15,276.34,277.41,276.13,277.37
168,2019-02-19,276.49,278.58,276.47,277.85
169,2019-02-20,277.81,278.92,277.25,278.41
170,2019-02-21,277.73,278.1,276.34,277.42
171,2019-02-22,278.11,279.36,277.82,279.14
172,2019-02-25,280.73,281.31,279.43,279.52
173,2019-02-26,279.13,280.3,278.9,279.32
174,2019-02-27,278.55,279.59,277.48,279.2
175,2019-02-28,278.96,279.45,278.32,278.68
176,2019-03-01,280.44,280.88,278.82,280.42
177,2019-03-04,281.6,281.87,276.84,279.4
178,2019-03-05,279.55,279.76,278.41,279.02
179,2019-03-06,279.15,279.16,276.97,277.33
180,2019-03-07,276.83,276.99,274.07,275.01
181,2019-03-08,272.93,274.65,272.42,274.46
182,2019-03-11,275.26,278.62,275.23,278.44
183,2019-03-12,279.04,280.07,278.85,279.49
184,2019-03-13,280.48,282.38,280.3,281.34
185,2019-03-14,281.37,281.84,280.66,281.16
186,2019-03-15,280.54,282.21,280.33,281.31
187,2019-03-18,281.55,282.66,281.3,282.33
188,2019-03-19,283.51,284.36,281.41,282.4
189,2019-03-20,282.17,283.5,280.32,281.55
190,2019-03-21,280.63,285.18,280.59,284.73
191,2019-03-22,283.22,283.81,279.18,279.25
192,2019-03-25,278.88,280.19,277.64,279.04
193,2019-03-26,280.99,282.18,279.56,281.12
194,2019-03-27,281.11,281.76,277.93,279.65
